importance,task_length,category,deadline_hours,duration
1,20,3,48,163
2,10,3,48,97
2,6,1,48,54
3,18,3,6,218
3,14,1,8,155
2,13,3,8,98
3,10,4,96,153
2,5,3,96,62
2,9,4,8,65
3,10,2,120,209
3,19,4,24,212
2,8,4,8,32
2,5,4,1,20
3,10,3,24,118
3,20,3,36,239
2,11,3,120,153
1,9,4,48,45
1,15,4,1,84
1,14,2,24,101
2,8,1,48,87
2,20,1,12,193
3,13,1,8,162
1,4,1,72,23
3,10,1,24,140
2,19,1,36,213
1,10,4,12,20
2,13,1,5,106
1,14,3,12,77
3,15,2,120,238
3,18,1,24,230
3,5,3,48,82
2,12,4,2,93
2,12,4,120,166
1,5,4,5,20
3,15,3,120,250
1,5,3,8,20
1,11,1,96,119
1,8,4,96,76
2,5,3,48,43
1,17,2,96,177
1,7,2,24,20
2,7,3,96,102
3,18,1,4,221
2,18,4,1,151
3,3,2,24,58
3,8,1,72,127
3,15,2,48,199
2,17,4,12,147
3,20,2,12,226
3,12,3,24,162
3,3,4,96,81
2,18,1,72,216
1,5,4,2,20
2,5,2,24,20
3,15,3,6,159
3,13,1,72,207
2,4,1,12,20
1,6,4,120,51
2,13,4,8,110
3,7,4,36,98
2,15,3,2,129
2,10,2,120,149
2,13,1,2,114
1,11,2,6,46
1,9,3,72,58
3,9,2,120,170
1,15,2,12,96
3,12,1,12,140
1,13,2,1,59
2,13,1,120,196
2,6,1,1,38
3,19,1,1,234
3,13,3,12,141
2,15,2,1,134
2,18,1,4,176
3,19,3,36,228
2,15,1,48,175
1,17,1,5,132
2,11,1,72,142
1,16,2,24,119
2,8,4,4,37
2,15,1,48,158
1,4,2,24,20
1,19,1,72,188
3,7,2,4,70
2,14,3,5,119
1,3,2,5,20
3,5,3,6,44
3,20,4,96,260
3,18,4,48,212
3,7,3,24,84
3,5,3,24,58
2,17,4,96,208
1,20,4,8,137
3,6,2,4,76
1,14,1,2,88
1,8,1,6,20
3,16,4,36,179
3,10,3,12,114
2,5,2,8,29
3,8,2,12,98
3,12,2,120,231
3,17,4,120,260
1,3,3,4,20
2,20,4,2,173
1,14,2,5,89
3,18,2,96,258
1,19,1,8,160
3,5,4,96,107
1,4,3,36,20
2,16,3,24,157
1,6,2,5,20
3,5,2,6,59
2,11,4,2,72
3,19,2,12,233
1,17,3,5,120
2,12,1,5,104
3,6,2,1,66
3,9,4,72,135
1,15,1,120,182
2,5,1,12,21
2,12,4,12,79
2,3,2,120,66
2,8,2,12,51
1,7,3,36,20
3,15,1,8,185
1,19,1,12,152
1,5,1,12,20
3,17,1,48,219
3,14,1,24,175
2,20,3,12,193
3,19,2,1,218
2,4,1,96,70
2,16,1,96,213
1,13,2,4,91
1,5,4,5,20
2,7,2,120,113
2,19,1,6,185
3,12,1,72,188
2,9,2,72,109
3,8,1,96,158
2,18,4,1,140
1,8,4,12,20
3,5,2,24,69
2,13,4,72,141
2,20,2,4,185
2,6,1,5,37
1,7,4,4,20
2,11,4,48,111
2,6,2,120,107
2,14,3,2,117
1,7,1,5,20
2,5,3,5,20
2,7,3,96,99
2,19,3,8,181
1,19,3,5,141
2,12,3,6,98
1,10,3,24,45
2,17,4,8,147
1,6,1,2,20
2,14,2,72,161
3,15,2,8,168
3,15,3,5,166
3,6,1,48,107
3,15,2,48,193
1,14,4,4,71
2,18,1,1,171
2,6,3,1,20
3,14,3,48,180
2,17,2,36,176
3,8,1,72,141
1,16,1,36,147
1,4,2,8,20
1,15,1,24,109
2,13,1,48,125
2,6,1,8,36
1,4,1,96,36
3,16,4,96,225
3,7,3,72,127
2,11,1,120,178
1,4,3,8,20
3,20,1,2,229
3,12,2,12,150
1,19,1,48,177
1,5,1,72,28
2,6,1,8,27
2,13,2,5,108
1,13,2,8,82
3,17,2,72,256
2,19,3,1,170
2,17,3,6,144
1,5,3,4,20
3,8,3,72,133
1,19,3,12,126
3,12,2,2,139
2,18,1,5,181
3,13,2,1,149
1,3,1,12,20
1,11,4,120,118
3,17,2,24,207
3,14,4,96,200
2,5,4,48,50
1,6,2,96,52
3,18,4,6,198
2,20,2,120,247
3,16,1,5,199
3,4,1,8,66
3,14,1,36,187
3,17,4,5,185
3,14,2,5,164
2,13,2,2,104
1,11,2,1,53
2,7,2,12,41
3,8,4,120,149
3,16,4,4,177
2,4,1,8,25
3,4,3,120,110
1,10,2,72,78
2,16,1,1,144
2,14,4,12,120
3,13,1,2,145
