tasks_completed,tasks_pending,focus_hours,break_hours,sleep_hours,stress_level,burnout
8,6,2,0,7,7,77
12,11,6,1,8,4,84
11,1,2,2,6,3,0
4,3,8,2,6,1,0
6,2,7,0,8,9,67
7,3,8,0,6,9,70
3,11,8,0,8,9,100
4,12,2,0,3,1,21
3,0,2,1,5,4,0
12,8,3,0,3,10,100
9,3,4,0,3,6,36
11,2,8,1,5,2,0
10,3,6,0,4,2,5
12,2,6,0,5,3,17
2,6,8,0,5,10,78
11,12,6,0,6,2,65
1,7,4,1,8,10,83
6,9,4,2,8,7,70
8,6,5,2,5,10,88
5,0,1,0,4,9,49
2,1,6,0,7,4,0
3,3,6,1,3,9,39
10,3,6,1,6,2,8
4,10,5,2,5,3,25
4,10,7,2,4,3,24
12,11,8,1,6,2,57
2,8,5,0,4,1,0
11,7,4,0,4,2,32
12,8,1,0,6,2,48
8,5,7,0,4,4,34
2,8,8,2,7,1,0
2,10,6,0,3,1,0
4,9,7,2,5,10,93
7,7,7,1,7,1,11
2,0,7,1,4,1,0
6,9,5,1,7,1,15
2,4,1,2,7,2,0
7,9,1,0,8,6,82
1,7,2,0,4,9,73
9,11,4,1,7,8,100
1,4,6,1,8,6,23
3,12,4,1,7,1,20
3,10,1,2,4,8,71
10,4,2,1,7,1,2
1,6,8,0,3,7,29
6,6,8,0,6,5,40
8,9,4,2,5,9,99
7,8,7,0,6,4,45
9,11,6,1,6,7,100
10,4,8,1,3,5,34
5,6,8,2,6,6,43
10,5,6,2,8,10,100
4,11,4,1,5,8,89
12,3,6,0,4,5,44
7,7,3,1,8,5,57
9,1,3,1,3,8,47
11,11,5,0,5,4,77
10,4,5,1,6,2,12
11,4,5,0,5,5,47
7,7,4,1,8,1,13
1,6,4,2,5,2,0
6,11,1,2,8,5,68
3,6,5,0,3,8,56
11,6,5,2,7,8,90
3,1,8,0,6,3,0
3,0,5,1,4,5,0
3,5,4,0,4,2,0
8,12,1,0,7,8,100
7,11,2,0,6,3,48
12,8,3,0,6,8,100
5,8,4,2,3,9,76
4,5,3,0,6,7,54
1,2,4,1,8,4,0
1,0,7,2,3,10,22
5,4,2,2,5,7,40
12,4,3,2,5,7,65
7,2,2,0,8,9,71
11,3,3,2,4,9,74
2,0,6,1,5,1,0
2,7,1,0,7,9,81
11,12,3,1,3,8,100
2,8,1,2,7,3,15
1,5,8,1,7,4,9
5,5,6,0,7,8,66
12,3,2,2,6,3,16
9,1,2,2,7,5,21
2,7,1,2,7,7,52
11,7,4,2,8,7,83
11,0,7,2,5,10,69
10,5,5,1,5,2,12
11,3,8,0,6,3,27
3,2,3,1,4,10,55
12,9,3,0,8,6,100
4,6,4,1,7,3,15
10,8,2,1,6,3,45
7,9,8,2,4,4,38
10,12,2,0,5,6,97
8,10,4,0,5,3,43
8,8,5,2,6,7,74
