sleep_hours,exercise_minutes,study_hours,screen_time,water_intake,best_habit
8,31,4,9,4,Exercise
6,42,4,3,4,Study
5,24,5,5,3,Study
8,37,2,4,4,Exercise
6,21,2,5,2,Sleep
5,47,3,8,2,Study
8,43,4,7,4,Exercise
7,62,4,6,2,Study
5,8,1,7,4,Sleep
6,56,5,7,2,Study
5,25,3,3,2,Study
8,8,6,5,1,Exercise
5,46,5,2,3,Study
8,15,6,7,2,Exercise
7,15,4,5,2,Sleep
7,63,4,7,3,Study
8,18,2,6,1,Exercise
8,37,3,4,1,Exercise
5,17,6,3,4,Sleep
5,12,3,9,3,Sleep
5,5,1,4,3,Sleep
7,5,2,2,1,Sleep
7,33,4,4,3,Study
5,31,4,9,2,Study
5,7,6,4,3,Sleep
7,25,6,9,1,Study
7,21,4,5,3,Sleep
6,39,4,8,3,Study
8,64,5,7,2,Exercise
8,46,1,2,1,Exercise
8,60,4,6,4,Exercise
6,16,3,5,3,Sleep
8,17,5,3,3,Exercise
7,50,5,6,4,Study
7,23,4,2,3,Study
6,55,4,7,1,Study
8,32,5,8,2,Exercise
7,17,4,2,4,Sleep
5,55,2,5,2,Study
8,38,2,7,4,Exercise
5,53,5,2,1,Study
7,32,4,5,2,Study
7,12,2,4,2,Sleep
7,45,6,2,3,Study
5,12,6,8,1,Sleep
6,44,4,5,1,Study
8,30,2,8,3,Exercise
5,52,6,6,2,Study
7,57,2,9,4,Study
8,29,3,9,4,Exercise
8,57,6,6,2,Exercise
7,11,4,4,3,Sleep
6,11,2,5,2,Sleep
7,64,1,8,2,Study
6,39,3,5,3,Study
7,32,5,6,2,Study
7,14,5,3,1,Sleep
7,22,2,9,2,Sleep
5,46,1,7,4,Study
8,54,5,4,2,Exercise
7,59,1,6,2,Study
8,29,1,5,3,Exercise
7,32,3,3,1,Study
8,14,4,8,2,Exercise
8,9,2,9,1,Exercise
8,31,2,8,4,Exercise
7,39,2,4,4,Study
7,11,3,4,4,Sleep
5,29,1,2,1,Study
6,43,1,7,3,Study
6,53,3,4,3,Study
8,61,1,9,4,Exercise
7,25,2,8,1,Study
6,28,4,3,3,Study
5,57,1,9,1,Study
7,46,4,3,3,Study
6,21,4,5,4,Sleep
5,46,4,5,1,Study
6,14,4,9,1,Sleep
8,31,5,7,4,Exercise
5,23,1,9,1,Study
6,64,2,6,3,Study
7,7,2,8,3,Sleep
5,56,5,8,2,Study
5,21,6,8,4,Sleep
8,7,6,5,4,Exercise
7,44,4,5,2,Study
5,45,3,9,1,Study
5,13,3,8,1,Sleep
6,7,1,9,1,Sleep
7,11,3,6,4,Sleep
7,29,4,9,3,Study
5,12,2,7,3,Sleep
7,47,5,7,1,Study
8,9,5,3,4,Exercise
5,52,2,6,3,Study
5,57,6,7,4,Study
8,48,1,8,2,Exercise
7,61,6,9,3,Study
8,61,5,4,3,Exercise
6,7,2,4,2,Sleep
6,25,4,9,3,Study
5,50,2,9,2,Study
5,25,5,3,4,Study
6,49,1,5,3,Study
5,51,2,9,3,Study
8,64,2,3,3,Exercise
7,24,2,8,2,Study
8,25,2,2,4,Exercise
7,6,4,3,1,Sleep
6,22,4,8,3,Sleep
7,21,4,6,1,Sleep
5,32,2,6,2,Study
8,30,2,8,3,Exercise
7,56,6,4,2,Study
5,51,2,6,4,Study
7,48,1,6,3,Study
7,5,3,7,2,Sleep
5,33,1,4,2,Study
5,48,3,7,3,Study
8,19,6,5,4,Exercise
6,30,2,6,2,Study
7,48,5,8,3,Study
5,52,3,5,3,Study
7,56,3,7,1,Study
5,30,4,9,4,Study
6,28,4,8,3,Study
7,27,2,9,1,Study
6,45,2,6,3,Study
7,30,6,4,3,Study
5,29,2,9,4,Study
6,15,6,7,1,Sleep
8,33,3,3,2,Exercise
6,19,6,4,1,Sleep
5,36,3,4,3,Study
8,58,4,8,3,Exercise
8,51,4,2,2,Exercise
7,33,3,7,4,Study
8,63,2,6,3,Exercise
8,63,4,2,2,Exercise
7,31,4,6,1,Study
7,50,2,8,2,Study
5,25,5,7,4,Study
7,57,4,6,2,Study
6,27,1,4,4,Study
8,20,6,3,3,Exercise
6,13,1,2,3,Sleep
8,55,4,4,2,Exercise
7,22,3,7,3,Sleep
7,53,4,2,1,Study
8,10,5,9,1,Exercise
6,35,5,6,2,Study
6,30,4,4,3,Study
6,31,6,9,3,Study
8,15,5,3,2,Exercise
8,9,5,9,2,Exercise
5,25,3,4,3,Study
6,33,2,5,3,Study
6,52,2,5,1,Study
7,32,4,9,2,Study
5,19,4,4,3,Sleep
7,20,1,9,4,Sleep
7,41,2,4,2,Study
5,31,6,4,4,Study
5,59,5,7,3,Study
7,31,5,7,2,Study
6,39,2,4,3,Study
8,8,1,3,4,Exercise
8,16,2,5,1,Exercise
8,56,6,6,1,Exercise
7,25,4,2,2,Study
8,30,5,2,1,Exercise
5,40,3,9,4,Study
6,8,3,2,4,Sleep
5,35,4,5,3,Study
7,25,6,8,4,Study
7,13,3,4,1,Sleep
6,30,4,5,3,Study
6,31,6,2,2,Study
7,16,3,8,2,Sleep
5,37,6,7,2,Study
7,49,4,8,3,Study
7,21,6,8,3,Sleep
5,62,3,4,1,Study
5,41,4,2,3,Study
6,51,2,4,4,Study
7,9,4,3,1,Sleep
6,51,2,6,4,Study
6,25,4,3,3,Study
7,47,5,9,2,Study
5,53,3,6,3,Study
7,20,3,4,3,Sleep
5,20,2,9,4,Sleep
5,8,5,8,1,Sleep
5,41,4,5,1,Study
6,51,4,3,3,Study
5,29,1,4,2,Study
8,14,1,6,1,Exercise
6,23,1,8,2,Study
8,29,6,4,3,Exercise
8,59,6,7,1,Exercise
8,12,1,4,4,Exercise
8,25,1,3,2,Exercise
5,43,5,5,1,Study
6,19,4,3,1,Sleep
7,58,2,5,4,Study
7,59,4,4,1,Study
5,27,2,4,2,Study
7,49,2,8,3,Study
8,50,3,4,3,Exercise
8,45,6,7,2,Exercise
6,16,5,7,1,Sleep
5,7,2,7,3,Sleep
6,25,4,4,2,Study
6,12,6,8,1,Sleep
6,22,6,3,1,Sleep
6,43,5,4,3,Study
6,40,1,8,1,Study
5,17,2,4,2,Sleep
6,6,2,7,1,Sleep
6,18,1,2,4,Sleep
5,32,2,6,3,Study
8,51,2,8,4,Exercise
7,26,4,7,1,Study
8,22,3,6,2,Exercise
7,38,3,8,2,Study
5,9,2,4,3,Sleep
8,18,1,5,4,Exercise
6,7,6,2,1,Sleep
7,36,4,7,4,Study
6,31,2,7,3,Study
6,39,5,8,4,Study
6,42,5,7,1,Study
6,28,6,3,4,Study
7,57,1,7,2,Study
7,60,4,8,2,Study
5,11,6,3,1,Sleep
5,60,5,5,4,Study
8,16,2,9,4,Exercise
7,19,6,5,1,Sleep
8,36,3,8,2,Exercise
7,6,3,6,3,Sleep
7,26,4,7,3,Study
8,16,5,7,1,Exercise
7,33,1,7,2,Study
6,53,4,8,2,Study
7,60,5,9,2,Study
5,17,4,4,4,Sleep
6,37,2,9,1,Study
7,33,1,7,3,Study
5,29,4,6,4,Study
7,42,5,4,4,Study
7,64,4,5,4,Study
6,29,6,7,1,Study
5,8,4,4,1,Sleep
7,59,4,4,4,Study
8,60,1,8,3,Exercise
7,24,4,5,3,Study
6,35,2,7,2,Study
7,56,5,2,3,Study
6,35,1,2,1,Study
6,33,6,8,2,Study
6,60,2,3,3,Study
5,54,3,8,1,Study
8,35,1,9,1,Exercise
7,14,2,5,1,Sleep
5,31,6,9,1,Study
8,45,2,5,4,Exercise
5,21,4,9,3,Sleep
7,37,6,3,4,Study
5,44,4,5,2,Study
6,10,1,5,3,Sleep
7,39,3,8,4,Study
8,49,3,2,2,Exercise
8,17,2,8,3,Exercise
8,37,2,2,3,Exercise
5,47,4,4,4,Study
5,7,3,6,4,Sleep
8,43,2,3,3,Exercise
8,20,3,5,3,Exercise
6,28,3,9,4,Study
5,43,2,8,3,Study
7,5,3,2,2,Sleep
5,6,6,6,3,Sleep
5,31,4,6,3,Study
8,61,4,2,1,Exercise
6,5,6,7,3,Sleep
5,52,4,6,3,Study
7,9,2,7,4,Sleep
6,34,3,4,3,Study
7,30,3,4,1,Study
8,33,3,7,4,Exercise
5,9,1,7,3,Sleep
7,50,1,3,2,Study
8,21,3,3,4,Exercise
6,51,6,6,2,Study
8,44,5,8,2,Exercise
6,38,6,3,4,Study
6,23,2,3,4,Study
8,44,3,8,3,Exercise
7,64,4,7,2,Study
8,60,3,9,4,Exercise
8,59,3,8,1,Exercise
7,18,3,9,3,Sleep
5,40,1,3,3,Study
6,28,6,4,4,Study
8,63,6,3,2,Exercise
7,62,1,2,4,Study
6,57,3,8,1,Study
6,14,4,7,4,Sleep
8,24,5,2,1,Exercise
5,47,6,3,3,Study
5,49,3,3,1,Study
8,26,5,5,4,Exercise
6,13,6,5,4,Sleep
8,13,5,4,1,Exercise
7,46,2,9,4,Study
8,32,5,3,2,Exercise
7,34,3,6,3,Study
8,53,1,5,1,Exercise
8,6,5,5,1,Exercise
5,50,6,8,1,Study
8,21,3,9,3,Exercise
7,60,3,2,3,Study
5,62,3,5,4,Study
5,35,1,2,1,Study
6,23,6,5,3,Study
5,18,1,6,1,Sleep
6,15,4,5,2,Sleep
8,64,1,4,1,Exercise
6,16,5,4,1,Sleep
5,31,6,4,3,Study
6,33,4,4,4,Study
5,45,4,4,3,Study
8,55,5,7,4,Exercise
5,38,6,2,3,Study
8,50,6,2,1,Exercise
6,39,2,6,2,Study
5,31,4,7,4,Study
7,14,5,4,1,Sleep
6,17,2,3,1,Sleep
8,30,5,6,4,Exercise
7,7,1,5,1,Sleep
8,23,6,7,4,Exercise
6,32,4,3,4,Study
5,33,5,2,3,Study
5,53,5,6,3,Study
6,63,2,5,1,Study
6,48,3,7,2,Study
8,9,6,6,4,Exercise
6,29,1,4,4,Study
8,48,5,3,2,Exercise
5,40,2,3,4,Study
6,32,4,8,4,Study
8,31,4,3,1,Exercise
5,29,5,6,3,Study
6,39,6,8,3,Study
8,15,3,9,3,Exercise
7,36,2,4,4,Study
8,17,3,2,4,Exercise
7,45,4,8,3,Study
8,56,5,7,2,Exercise
8,35,5,4,4,Exercise
8,28,3,6,4,Exercise
5,61,6,3,3,Study
7,44,1,7,3,Study
5,30,1,7,1,Study
5,6,1,4,2,Sleep
6,5,6,5,1,Sleep
7,18,2,4,3,Sleep
6,19,4,2,4,Sleep
8,48,5,3,1,Exercise
6,35,5,9,4,Study
7,64,6,5,1,Study
8,37,1,3,1,Exercise
