tasks_completed,tasks_pending,focus_hours,breaks,meetings,productivity
2,4,4,4,4,68
1,2,6,4,5,75
4,2,9,7,5,65
10,1,9,3,0,96
11,9,8,1,0,79
4,8,2,5,3,57
7,1,8,2,5,83
10,5,3,7,5,61
10,7,6,3,5,64
2,6,9,6,0,70
11,10,9,5,3,58
11,7,7,4,4,68
9,7,4,5,3,69
7,0,6,2,4,89
5,0,7,1,1,100
11,6,6,6,2,63
11,9,5,7,2,56
7,4,5,7,5,62
9,7,6,3,1,81
5,2,2,3,1,80
9,5,9,3,0,84
2,8,2,5,0,68
11,7,9,5,5,60
7,1,2,6,5,72
8,9,6,7,1,59
3,10,5,3,4,57
7,5,6,5,3,74
1,3,5,4,5,71
11,5,9,7,1,76
9,8,2,3,5,61
6,4,9,2,2,81
11,0,7,3,4,89
10,0,8,5,2,85
2,8,3,7,4,51
1,8,2,6,2,55
4,8,5,1,5,64
1,1,4,4,3,81
7,1,8,2,1,91
7,4,9,3,5,77
7,2,5,7,4,68
1,4,8,7,2,69
12,6,2,2,0,83
12,3,7,1,5,87
8,1,2,5,4,79
1,4,7,3,4,74
5,7,5,4,4,63
9,6,5,7,3,57
9,3,4,7,1,78
3,3,5,7,1,71
10,6,8,6,0,76
12,1,8,7,0,88
7,9,4,6,4,51
5,9,4,7,5,44
7,0,6,4,0,95
1,10,7,1,3,62
7,0,3,6,0,90
1,5,7,7,2,62
1,7,9,3,4,68
7,3,8,3,4,80
7,2,6,5,5,74
12,0,4,5,1,89
7,8,4,5,5,57
12,0,7,3,4,94
10,5,5,6,2,71
5,4,2,6,1,73
12,10,7,7,0,60
6,10,3,5,5,50
8,8,9,1,1,83
2,8,5,6,1,63
3,5,4,1,2,80
7,3,2,2,0,90
4,1,3,2,4,82
8,10,9,2,4,63
1,4,6,6,0,74
4,4,9,4,0,83
8,1,9,2,0,100
8,3,2,1,5,78
12,6,5,2,2,83
11,4,8,5,3,75
10,6,5,6,0,69
1,2,6,3,1,88
8,0,6,1,3,100
3,9,7,4,1,64
4,4,9,6,3,71
3,3,9,1,5,82
6,3,7,6,1,81
2,7,6,2,3,71
7,6,4,2,5,66
2,4,2,5,5,70
7,10,7,1,0,77
8,9,2,3,0,69
3,2,7,1,5,79
2,7,5,2,5,66
10,10,8,6,1,59
9,5,9,2,3,81
4,0,6,1,3,95
11,1,6,2,4,88
3,7,5,1,4,67
12,9,4,5,2,64
2,1,2,7,5,65
8,6,2,2,0,82
1,5,7,6,0,66
3,3,9,3,5,74
5,6,2,1,1,82
2,9,4,5,5,52
6,2,6,2,1,88
3,0,7,4,2,83
2,3,7,4,0,82
12,3,7,5,5,76
12,7,2,1,2,81
12,5,4,2,1,83
2,0,5,6,2,81
5,3,2,7,0,79
4,8,4,1,4,68
4,5,5,3,0,75
5,6,9,7,2,64
7,2,4,3,2,91
6,3,9,4,0,81
4,1,7,7,0,81
12,0,7,7,3,81
12,0,8,5,2,90
4,6,8,5,0,73
3,1,3,5,0,88
7,6,5,2,4,73
5,10,6,7,4,51
12,7,9,1,3,79
6,6,2,1,5,71
1,1,5,5,0,82
2,5,3,6,4,55
1,9,3,6,4,50
5,4,8,5,1,82
4,9,3,3,3,63
11,7,8,3,4,72
11,2,9,3,3,86
2,1,8,2,1,90
12,0,3,3,3,94
8,3,3,1,4,90
4,3,5,3,0,90
5,7,6,7,3,60
6,6,8,5,3,67
3,5,5,1,2,81
11,7,3,3,0,76
1,8,9,2,0,69
1,7,9,2,4,64
4,9,7,5,4,55
2,3,7,7,2,68
1,9,9,5,5,47
5,4,5,4,5,69
5,2,3,2,3,83
2,1,6,2,3,82
10,1,5,6,5,74
11,10,8,5,3,58
9,1,8,4,5,79
7,9,5,5,5,56
12,8,4,6,1,60
5,4,5,6,3,62
6,10,7,1,4,64
1,9,7,3,4,59
9,10,6,1,2,72
2,5,6,3,5,66
8,3,9,5,2,76
10,0,4,2,2,95
3,9,3,2,0,69
8,9,8,4,1,72
4,5,9,4,5,66
5,0,6,5,4,80
7,9,5,1,4,74
3,3,4,2,5,75
10,6,5,6,1,72
5,7,2,5,3,64
6,1,6,7,2,79
10,0,4,6,5,78
3,0,4,6,2,81
6,10,6,4,5,54
12,10,9,7,4,50
5,4,3,3,4,75
2,4,9,7,5,66
4,4,6,3,4,77
12,3,9,4,1,87
10,5,5,5,3,74
10,3,9,3,2,83
4,6,7,2,0,80
11,4,7,7,3,72
5,6,6,4,2,75
10,10,5,7,2,52
11,2,6,3,0,91
3,0,8,7,3,83
12,5,8,5,3,74
8,1,2,6,0,90
9,2,7,6,3,77
10,8,8,2,1,77
3,4,7,6,0,73
9,6,5,7,2,67
3,8,4,5,2,65
4,1,7,7,5,66
2,5,7,6,0,70
3,0,4,5,2,85
12,5,5,4,4,73
4,2,4,7,1,73
5,10,2,2,5,60
6,2,2,4,4,80
9,2,2,6,5,69
7,0,5,7,5,74
7,1,6,2,0,92
11,2,5,1,2,91
6,2,9,3,4,82
10,8,3,7,0,64
11,9,5,4,2,63
9,9,3,1,4,66
1,10,4,1,4,57
4,9,6,3,2,66
8,5,4,3,5,65
6,4,4,1,4,77
4,7,7,4,0,66
5,3,8,4,1,83
1,6,3,2,5,61
3,10,2,2,0,67
10,2,3,5,0,91
1,8,6,7,2,59
11,10,9,7,5,44
5,5,3,4,4,69
10,3,2,1,0,91
4,2,6,7,2,69
10,1,9,7,5,73
7,3,6,2,1,92
11,8,9,3,3,72
1,5,7,1,2,77
10,2,2,6,4,76
4,5,5,6,4,56
5,8,8,1,4,67
1,0,6,5,0,84
12,0,3,3,2,94
8,10,3,4,4,55
12,8,7,2,2,75
7,6,5,6,4,61
2,9,6,3,3,61
5,6,4,6,2,66
6,5,4,2,0,84
2,2,7,5,5,70
12,8,2,3,4,68
12,8,5,7,5,56
7,3,4,4,1,80
8,8,8,6,1,64
9,7,7,1,1,85
9,1,5,5,0,85
1,1,4,1,1,97
7,6,3,3,1,72
10,6,3,2,5,71
10,7,4,1,1,78
8,4,8,5,3,80
11,9,2,2,3,67
8,4,2,4,2,75
5,2,6,6,5,68
6,1,3,2,0,95
9,9,8,5,5,55
11,7,8,3,4,70
3,5,8,3,1,67
4,2,5,5,4,74
8,1,5,5,2,83
10,1,5,5,5,81
5,1,3,2,0,98
8,5,6,5,0,76
1,2,8,2,3,86
4,1,4,2,5,79
12,3,2,7,0,81
7,7,6,1,4,71
11,5,5,3,5,69
3,1,8,4,2,83
4,8,8,2,5,68
12,5,9,6,4,69
12,2,5,4,1,93
11,7,9,6,5,58
4,10,2,3,4,59
10,5,4,7,0,70
6,1,4,6,3,77
11,3,9,3,3,85
11,6,6,7,4,63
6,10,4,7,4,48
4,10,3,5,2,53
12,10,8,1,1,78
6,9,7,5,1,68
6,6,8,5,0,72
8,7,5,3,3,64
12,8,3,2,5,69
2,7,4,4,0,69
12,7,6,6,4,62
6,1,3,3,3,86
1,9,2,4,1,60
4,0,8,1,1,97
6,4,6,5,1,76
9,4,5,7,4,70
7,10,6,6,1,58
2,0,7,4,4,77
6,5,2,1,2,78
3,3,5,4,0,82
4,1,4,7,0,76
9,2,2,1,2,87
10,4,2,2,2,86
2,10,5,6,4,49
8,4,6,4,2,77
6,9,6,2,0,74
5,8,8,1,1,77
9,9,5,3,3,67
3,9,6,5,2,60
10,7,8,6,4,54
5,8,7,7,5,50
2,1,9,4,2,85
10,7,3,3,3,69
11,0,8,7,4,79
7,8,7,6,1,66
9,7,6,2,3,74
2,8,2,5,1,66
5,7,6,6,3,63
5,4,8,2,4,77
10,4,7,7,0,75
5,6,2,3,1,66
9,5,4,4,0,79
4,3,6,4,0,79
8,5,8,5,0,78
3,5,5,7,4,60
7,2,8,3,5,82
1,7,8,3,2,73
9,3,4,6,5,68
1,2,3,7,4,72
12,4,9,7,4,69
11,1,6,6,4,74
7,6,8,5,1,70
11,8,9,6,3,61
10,10,5,7,3,54
2,3,2,1,3,79
9,5,9,5,4,69
5,5,6,1,0,86
11,8,2,5,4,59
11,6,6,3,4,75
12,8,2,3,0,78
6,9,4,7,2,58
3,1,4,5,5,72
2,3,5,4,0,85
2,7,6,7,0,58
12,5,8,1,4,78
8,5,4,5,1,71
5,1,7,2,4,86
6,6,9,2,5,74
3,8,7,2,2,68
7,0,4,4,2,87
6,6,7,5,2,68
10,9,4,6,2,61
1,6,5,4,2,66
12,10,7,7,3,52
1,3,4,3,5,68
6,0,2,2,5,84
5,7,8,1,5,73
9,2,7,1,0,98
8,0,2,4,1,88
3,1,5,3,4,85
6,10,4,6,3,50
7,8,9,1,2,80
6,3,9,2,1,92
1,6,7,7,0,65
3,3,5,1,1,84
7,1,2,3,2,94
4,10,3,2,2,65
7,8,2,4,3,62
2,3,8,7,1,75
9,3,2,2,1,90
3,8,7,3,5,64
8,5,9,4,2,74
11,4,4,6,1,77
5,4,7,7,3,62
2,4,9,1,3,83
1,5,5,4,3,68
5,0,5,6,1,85
2,5,3,1,4,74
11,4,5,6,1,76
12,3,8,2,5,80
12,3,7,4,2,86
12,4,3,7,2,76
8,4,6,5,2,74
4,9,7,7,2,55
6,5,2,5,3,69
4,5,8,2,2,79
11,2,3,5,0,82
6,10,4,5,3,51
5,0,5,3,1,90
9,6,6,1,0,80
5,1,9,5,5,80
5,8,3,5,1,65
3,4,4,6,3,67
1,3,5,1,1,80
1,0,8,4,2,80
5,8,9,6,2,60
12,4,5,7,0,82
4,2,7,7,5,64
8,9,9,2,1,75
4,0,8,2,3,89
4,5,7,5,3,68
2,1,6,4,2,86
7,1,9,2,3,89
8,0,3,1,3,92
5,2,4,2,0,96
7,10,7,3,4,59
6,4,2,6,0,78
4,10,6,1,2,65
9,2,8,1,2,97
7,8,3,2,2,72
1,0,8,7,0,83
6,1,5,7,4,72
5,0,8,4,2,86
10,9,7,1,0,78
4,7,3,1,0,78
12,8,7,7,3,62
8,10,2,4,3,57
2,3,3,1,3,78
5,7,9,6,4,54
11,5,9,4,4,68
4,5,2,3,5,70
9,7,5,4,5,60
10,5,2,2,5,75
9,0,4,7,4,77
2,0,9,6,2,81
5,5,3,2,3,77
5,6,7,6,3,64
5,8,8,2,1,65
11,6,9,4,4,70
1,2,4,6,3,72
7,4,7,1,3,89
12,4,5,6,5,73
11,10,2,2,4,59
8,5,3,5,5,64
12,6,7,4,5,64
5,8,7,1,4,74
8,3,6,6,1,81
7,10,8,2,1,70
1,7,7,7,1,60
1,9,4,6,4,53
11,8,4,2,5,71
3,6,9,5,5,64
5,0,9,3,4,88
8,6,2,5,4,63
7,1,8,4,5,82
7,6,3,3,4,72
12,7,8,5,0,74
10,5,6,2,3,79
12,3,7,7,2,79
8,0,7,7,3,84
12,7,6,2,3,73
8,7,4,6,1,65
7,5,8,7,1,70
10,7,6,1,0,85
11,8,6,6,1,64
1,5,4,7,4,63
11,0,2,2,3,94
9,9,6,5,5,57
11,5,4,6,5,69
9,7,7,3,5,65
12,10,4,2,1,71
4,3,9,3,2,78
