importance,deadline_hours,duration,category,priority
1,12,160,1,High
3,6,141,2,High
2,2,176,2,Critical
3,36,171,2,High
1,4,117,1,Critical
1,6,195,1,High
2,120,84,2,Low
2,1,46,2,Critical
2,5,222,1,Critical
1,6,34,2,Medium
2,12,89,2,Medium
3,5,54,1,Critical
3,120,78,2,Low
1,1,113,2,Critical
2,120,57,1,Low
2,12,128,4,High
2,1,225,1,Critical
3,2,58,3,Critical
2,2,225,3,Critical
3,5,116,4,Critical
3,6,155,3,High
1,36,123,3,High
3,6,96,4,High
1,48,53,4,Medium
2,5,155,1,Critical
2,5,223,4,Critical
2,5,139,2,Critical
2,6,156,1,High
1,72,165,3,Low
1,5,111,4,Critical
3,5,55,1,Critical
3,120,136,1,Low
3,36,213,4,High
2,4,96,3,Critical
3,96,213,1,Low
2,4,210,4,Critical
1,4,81,2,Critical
1,8,151,2,High
1,36,187,2,High
2,4,134,3,Critical
3,48,177,1,High
1,4,222,2,Critical
2,72,162,2,Low
1,2,206,1,Critical
2,12,199,4,High
2,36,201,1,High
1,5,209,4,Critical
2,24,77,1,Medium
1,36,33,2,Medium
3,36,62,1,High
3,8,82,2,High
3,72,175,3,Low
3,48,137,1,High
1,6,128,3,High
3,48,31,4,High
1,96,174,2,Low
3,72,106,1,Low
3,48,190,3,High
3,48,53,1,High
3,72,92,1,Low
3,5,41,2,Critical
3,48,90,2,High
1,4,224,1,Critical
1,6,133,4,High
3,120,122,3,Low
1,5,87,4,Critical
2,72,85,2,Low
1,8,170,2,High
2,4,237,4,Critical
3,2,187,1,Critical
3,24,185,2,High
2,8,129,4,High
2,12,50,2,Medium
2,1,182,4,Critical
2,5,200,2,Critical
2,1,137,2,Critical
3,5,49,4,Critical
1,120,180,1,Low
2,2,224,4,Critical
2,36,77,1,Medium
2,1,63,2,Critical
1,24,185,3,High
1,96,100,3,Low
2,6,180,4,High
3,4,178,4,Critical
3,24,86,3,High
3,5,38,3,Critical
3,96,147,2,Low
2,96,116,4,Low
1,36,210,3,High
2,36,105,1,Medium
3,24,82,4,High
2,48,211,2,High
3,8,185,2,High
1,120,160,2,Low
1,6,231,4,High
1,1,195,2,Critical
1,48,212,2,High
2,36,198,1,High
2,120,114,2,Low
2,8,43,1,Medium
1,8,158,3,High
2,24,191,4,High
1,8,239,2,High
2,72,173,4,Low
1,8,149,4,High
1,72,151,1,Low
1,8,54,3,Medium
1,4,31,3,Critical
2,120,39,2,Low
2,12,220,4,High
2,48,196,2,High
2,24,84,1,Medium
1,6,119,3,High
1,120,132,1,Low
3,6,82,2,High
3,120,119,3,Low
1,8,103,3,Medium
1,1,176,2,Critical
1,1,189,2,Critical
1,120,50,1,Low
1,12,128,2,High
2,8,239,3,High
3,72,213,3,Low
3,36,197,2,High
3,36,185,1,High
2,36,30,3,Medium
2,4,235,3,Critical
2,2,185,1,Critical
1,48,217,3,High
2,1,221,1,Critical
1,48,83,2,Medium
2,2,32,3,Critical
1,5,169,3,Critical
3,48,126,3,High
3,36,34,4,High
3,72,87,1,Low
1,24,239,4,High
1,1,106,2,Critical
3,72,85,2,Low
3,4,168,4,Critical
2,2,170,2,Critical
1,96,100,1,Low
2,4,209,3,Critical
2,12,152,3,High
3,12,63,3,High
2,72,98,1,Low
1,1,208,3,Critical
3,2,48,1,Critical
3,8,32,3,High
1,12,168,3,High
1,72,123,4,Low
1,24,83,4,Medium
3,2,129,1,Critical
2,120,68,1,Low
2,8,108,3,High
3,120,79,4,Low
1,120,153,1,Low
1,1,172,2,Critical
3,12,223,2,High
2,8,44,2,Medium
1,12,98,3,Medium
3,6,85,2,High
1,24,152,2,High
3,12,142,4,High
3,4,215,2,Critical
3,5,223,1,Critical
2,2,193,4,Critical
1,72,71,2,Low
3,36,38,4,High
2,8,219,4,High
2,8,228,3,High
1,2,82,1,Critical
2,5,39,4,Critical
2,120,173,3,Low
1,1,154,2,Critical
3,2,217,4,Critical
1,72,151,4,Low
3,12,190,4,High
3,1,195,1,Critical
2,12,32,3,Medium
1,48,61,2,Medium
2,6,194,1,High
2,6,67,2,Medium
2,36,73,1,Medium
1,24,188,1,High
2,96,73,3,Low
1,5,61,3,Critical
2,5,32,2,Critical
2,4,129,1,Critical
2,36,164,4,High
3,12,184,3,High
3,6,221,3,High
3,48,167,1,High
3,6,189,1,High
3,4,74,1,Critical
1,24,101,1,Medium
1,8,94,4,Medium
2,8,43,2,Medium
2,8,234,3,High
3,96,80,4,Low
1,4,124,4,Critical
1,5,105,2,Critical
3,24,39,2,High
3,1,220,2,Critical
1,2,76,1,Critical
1,24,51,4,Medium
2,12,102,3,Medium
2,36,60,2,Medium
1,2,240,3,Critical
2,96,69,3,Low
3,12,93,1,High
3,4,87,3,Critical
3,6,35,4,High
2,4,32,3,Critical
3,8,138,3,High
1,12,79,1,Medium
1,8,47,3,Medium
1,8,91,4,Medium
3,96,87,2,Low
2,120,119,3,Low
1,12,239,3,High
3,120,94,1,Low
1,72,178,2,Low
2,72,192,4,Low
1,4,40,4,Critical
1,8,135,2,High
1,6,124,2,High
1,2,137,4,Critical
2,1,66,1,Critical
1,36,128,2,High
1,8,55,1,Medium
2,72,229,1,Low
2,36,153,3,High
2,2,37,2,Critical
2,72,136,4,Low
3,12,225,4,High
3,24,186,4,High
1,120,87,3,Low
3,36,218,3,High
2,1,69,3,Critical
2,4,82,4,Critical
3,8,62,1,High
1,1,224,3,Critical
2,4,181,1,Critical
3,72,139,2,Low
3,2,170,2,Critical
1,4,84,3,Critical
2,12,44,4,Medium
1,2,208,1,Critical
1,5,233,3,Critical
1,120,37,1,Low
2,36,40,1,Medium
3,120,148,2,Low
2,6,39,3,Medium
2,36,182,1,High
3,5,229,2,Critical
2,6,89,4,Medium
3,4,92,2,Critical
2,72,212,4,Low
1,4,105,4,Critical
2,4,80,2,Critical
2,12,47,3,Medium
2,8,207,3,High
3,6,225,2,High
1,6,46,2,Medium
2,5,199,2,Critical
2,96,63,1,Low
1,24,59,1,Medium
2,96,110,2,Low
3,120,122,4,Low
2,36,210,1,High
1,72,177,1,Low
1,2,60,2,Critical
2,120,153,3,Low
3,12,214,1,High
1,48,169,1,High
1,5,78,1,Critical
3,2,57,2,Critical
1,96,125,1,Low
1,8,129,4,High
1,2,104,4,Critical
3,36,53,2,High
2,1,54,1,Critical
1,8,141,1,High
1,48,229,2,High
3,48,156,2,High
3,8,122,3,High
1,6,226,2,High
1,72,175,2,Low
1,4,181,2,Critical
3,1,151,3,Critical
1,4,190,3,Critical
1,72,135,1,Low
2,12,161,2,High
2,1,160,3,Critical
2,4,188,3,Critical
3,1,219,3,Critical
1,72,92,3,Low
2,8,177,3,High
2,1,36,2,Critical
1,4,142,3,Critical
3,36,219,2,High
2,24,166,2,High
2,72,86,1,Low
3,1,157,2,Critical
1,1,105,1,Critical
3,1,121,1,Critical
3,8,78,2,High
1,48,161,3,High
3,36,71,4,High
3,4,123,1,Critical
2,36,228,4,High
2,36,189,2,High
3,4,117,3,Critical
1,48,234,3,High
1,8,32,4,Medium
2,1,232,1,Critical
3,8,104,4,High
2,72,203,1,Low
1,48,229,4,High
2,5,156,3,Critical
1,48,158,2,High
3,8,188,2,High
2,8,80,1,Medium
2,2,67,4,Critical
2,120,102,3,Low
3,72,131,4,Low
3,4,186,3,Critical
2,24,84,4,Medium
2,72,149,4,Low
1,12,30,2,Medium
2,4,36,3,Critical
2,120,233,2,Low
2,5,209,4,Critical
3,6,212,3,High
3,6,99,2,High
2,96,138,3,Low
2,12,172,2,High
1,48,83,3,Medium
2,96,187,2,Low
3,120,176,2,Low
3,96,115,4,Low
3,96,121,1,Low
2,120,94,4,Low
3,120,199,1,Low
3,36,238,1,High
2,2,240,1,Critical
1,2,192,1,Critical
2,72,103,1,Low
3,6,194,4,High
2,72,81,4,Low
3,120,219,3,Low
3,36,86,1,High
1,48,115,4,High
3,5,49,3,Critical
2,8,47,3,Medium
3,120,113,4,Low
2,72,146,2,Low
2,4,33,2,Critical
1,120,208,4,Low
1,12,54,3,Medium
2,72,240,3,Low
2,12,87,3,Medium
2,24,109,4,High
1,4,63,2,Critical
2,6,203,1,High
1,48,184,2,High
1,72,46,3,Low
2,2,52,4,Critical
2,1,158,2,Critical
2,48,212,3,High
3,8,53,4,High
3,96,76,4,Low
2,1,145,4,Critical
3,6,52,4,High
1,1,94,3,Critical
3,48,32,2,High
2,96,135,2,Low
3,4,180,3,Critical
3,6,116,1,High
3,72,84,3,Low
3,1,119,3,Critical
1,120,137,3,Low
1,96,64,2,Low
2,2,53,3,Critical
2,2,68,1,Critical
1,36,237,3,High
3,1,182,4,Critical
1,12,56,4,Medium
3,1,93,4,Critical
1,12,116,2,High
2,6,68,1,Medium
3,48,209,3,High
2,96,228,1,Low
3,12,81,2,High
