priority,energy_level,deadline_hours,duration,best_hour
2,10,48,54,11
1,7,30,82,14
2,10,1,171,9
2,9,30,166,11
3,7,12,45,12
1,9,4,179,11
1,6,5,125,14
1,7,30,113,14
2,9,2,149,10
3,8,24,103,13
2,7,72,70,12
3,7,2,109,11
3,10,1,139,8
2,4,1,133,15
2,4,36,55,14
1,7,72,171,15
3,4,120,72,18
3,6,1,153,13
3,7,12,77,12
3,6,1,39,11
2,5,6,180,13
1,5,5,118,16
3,8,24,62,10
2,10,96,30,14
3,9,48,49,12
3,7,2,55,11
1,4,4,169,19
2,5,5,56,14
2,7,5,54,13
2,5,6,156,13
1,8,24,162,14
1,6,36,61,17
2,9,120,128,14
1,5,36,110,16
1,7,5,117,12
1,9,3,77,11
3,5,8,143,14
1,9,48,163,12
2,8,120,139,12
1,8,8,166,14
2,7,3,46,12
1,10,1,129,11
1,9,2,180,13
2,5,30,110,15
3,7,24,172,11
1,10,30,82,11
2,5,1,165,12
3,7,8,171,11
2,9,3,123,11
3,5,6,136,13
1,7,24,108,13
3,7,5,77,12
1,5,30,110,14
2,5,5,175,14
2,7,18,32,14
1,5,12,60,18
3,10,8,105,9
3,7,3,81,10
1,8,24,124,13
1,6,120,84,18
3,6,30,129,13
2,7,36,46,14
1,8,48,80,13
3,6,1,134,10
3,5,48,101,15
2,5,4,137,15
1,7,30,126,14
1,8,120,79,18
2,7,96,94,17
1,5,8,175,15
2,5,72,175,15
1,6,24,35,16
1,6,3,136,15
1,5,4,104,16
2,10,120,30,15
2,6,96,125,16
2,5,96,33,17
3,8,8,78,11
2,9,6,134,11
1,7,48,152,16
3,8,1,92,8
3,4,96,152,16
2,7,24,156,13
1,4,30,97,15
3,4,12,56,15
3,8,120,129,13
2,5,36,32,15
1,4,1,164,17
1,5,18,88,17
1,9,72,144,15
1,8,2,141,13
1,6,36,101,15
2,10,4,176,12
1,6,18,150,15
1,10,96,163,13
3,6,12,44,11
3,4,1,103,14
1,4,1,173,15
3,5,36,152,12
3,5,96,98,17
2,5,5,40,14
2,6,96,72,17
2,10,12,116,11
1,5,1,126,14
2,5,18,169,15
3,10,120,44,13
2,5,5,89,14
2,9,120,71,14
1,8,30,174,14
3,10,8,55,9
1,7,36,63,16
3,8,8,74,13
1,5,2,45,14
1,8,72,127,11
1,8,6,109,14
2,10,24,114,10
3,4,36,166,13
2,5,2,95,13
1,4,36,77,16
1,9,6,86,14
1,4,18,150,16
2,10,12,109,12
3,6,48,55,15
3,6,4,134,12
3,10,2,142,8
1,9,8,67,13
2,7,2,114,13
1,10,4,115,12
2,9,30,56,12
2,8,72,31,15
3,6,36,138,14
2,10,6,122,10
1,9,72,137,13
2,10,8,86,9
2,10,3,107,10
2,7,48,178,14
1,6,18,64,16
2,10,6,128,8
2,10,30,49,11
3,4,36,39,15
3,8,4,174,11
1,8,2,49,12
3,9,18,129,10
1,10,1,107,9
3,5,30,152,14
2,10,12,112,10
3,8,4,135,10
3,4,24,165,14
2,7,8,155,14
2,4,8,139,13
3,10,4,54,9
2,9,30,55,14
2,10,96,105,13
2,8,24,129,13
2,6,4,130,14
1,6,72,148,16
1,10,2,45,11
3,5,5,56,14
2,10,1,52,12
2,6,72,111,17
1,8,1,125,11
3,8,18,47,13
2,4,4,161,14
1,5,4,75,14
1,5,24,129,15
2,9,48,143,13
2,4,1,35,16
1,8,3,160,12
1,4,5,176,16
1,9,120,174,15
1,10,1,51,11
3,6,3,89,11
2,5,8,65,15
2,7,6,98,12
1,8,1,177,10
2,9,18,145,12
3,8,24,146,11
3,8,3,93,13
2,8,36,171,11
1,5,1,168,14
2,5,36,151,14
1,10,5,152,10
1,8,4,128,12
3,10,4,44,12
3,8,72,72,13
3,7,18,146,11
2,7,36,79,11
3,8,4,56,9
2,5,1,173,13
1,7,1,103,13
1,9,12,159,12
1,4,6,72,13
3,4,48,84,15
1,5,48,81,18
3,8,5,86,13
3,5,8,96,11
2,7,8,74,12
3,4,30,152,13
1,5,30,79,16
2,4,30,96,14
1,9,1,159,13
1,7,6,96,14
1,5,120,31,19
3,7,6,30,14
3,10,3,95,9
3,9,4,127,10
3,10,1,172,8
3,6,48,49,12
3,6,1,111,11
1,6,24,73,18
3,6,8,98,13
3,10,2,96,9
1,4,96,77,18
1,9,36,32,14
3,10,72,41,10
3,9,96,108,11
1,8,96,63,15
1,9,36,79,15
2,4,18,43,18
1,9,36,37,13
3,7,12,49,11
2,10,3,86,8
1,4,8,54,16
3,10,12,64,10
3,8,1,75,12
3,4,72,73,17
3,7,96,31,15
1,4,8,47,17
3,4,12,173,13
3,7,72,130,14
3,9,12,48,10
1,4,36,72,18
2,5,18,87,15
3,6,5,166,12
1,7,48,162,15
2,4,4,146,13
3,8,4,46,10
3,7,36,104,12
2,10,36,103,9
3,6,120,126,15
3,7,36,157,12
3,4,1,78,15
1,10,72,114,13
1,9,8,69,13
1,6,1,61,15
2,7,24,77,13
2,10,3,141,10
1,6,8,96,15
3,5,12,132,15
1,5,2,134,15
3,8,72,84,11
2,5,18,174,12
3,4,120,36,18
1,5,12,165,12
1,10,24,31,14
3,10,48,87,11
2,10,4,154,9
2,5,96,133,15
1,7,3,78,15
3,7,120,163,14
1,7,30,50,13
3,4,18,131,13
2,8,4,108,12
1,4,24,61,17
2,5,18,169,15
2,6,120,145,18
2,8,72,31,14
3,10,12,43,11
2,8,8,38,11
2,7,8,92,10
2,7,8,92,12
1,7,1,139,12
3,5,1,132,12
1,10,48,32,12
1,10,5,101,11
1,5,8,148,16
2,4,36,165,17
2,5,24,74,13
3,8,6,36,10
3,4,48,53,15
3,4,3,81,15
1,8,12,96,13
3,5,2,83,12
1,4,18,43,17
1,4,2,81,17
2,8,120,73,16
2,6,30,103,13
1,5,4,41,16
3,8,24,149,11
1,5,6,92,15
2,7,18,78,12
2,7,3,166,13
2,8,18,142,12
2,8,2,50,13
3,8,3,52,13
2,5,24,30,16
1,4,18,114,15
3,7,5,83,13
3,4,1,86,14
1,7,8,106,17
3,8,96,111,14
2,9,36,30,13
1,8,1,46,13
1,10,120,149,14
3,7,8,173,11
1,7,24,156,14
2,5,1,166,14
3,8,5,99,12
3,9,48,154,11
2,6,6,163,12
3,4,3,164,13
1,4,2,52,14
3,8,96,52,16
1,8,72,90,14
1,4,1,106,17
3,4,96,174,17
3,8,72,78,13
3,6,6,155,12
3,6,30,163,12
1,5,5,175,13
2,9,4,58,13
3,9,36,66,11
2,4,4,63,16
1,4,6,141,17
1,7,6,133,13
3,8,3,91,11
3,5,72,43,16
1,5,30,108,14
1,8,72,140,14
2,7,18,101,14
1,4,3,70,15
3,8,5,119,10
3,4,6,129,13
2,5,120,119,20
3,8,4,161,8
1,5,36,77,17
3,4,2,122,13
2,10,120,159,13
2,5,30,62,15
1,7,8,72,15
1,9,6,37,13
1,10,6,86,12
2,9,4,36,13
1,6,24,142,16
1,9,72,43,15
2,4,4,134,14
3,6,36,117,14
1,5,24,179,16
2,7,48,82,13
3,10,48,82,9
2,9,1,66,9
1,10,1,111,11
1,4,96,63,19
3,9,3,47,9
2,9,24,173,12
1,7,48,132,15
3,4,18,47,16
3,4,1,123,14
3,10,1,76,8
1,6,30,57,16
1,8,96,101,16
1,10,6,148,10
1,7,18,30,13
2,5,96,83,17
2,7,72,169,13
3,5,18,89,15
1,5,30,44,16
3,9,120,94,16
3,6,48,133,11
1,8,8,180,12
2,9,36,124,14
2,7,6,37,12
1,7,96,152,16
1,5,2,147,14
3,7,4,128,10
3,9,6,165,10
2,5,4,146,12
1,5,24,65,16
1,8,36,93,14
3,10,96,106,12
2,6,18,103,12
2,9,24,126,13
1,5,24,135,16
3,7,1,45,11
2,10,36,115,10
2,7,1,35,12
3,7,18,107,13
2,5,120,93,18
3,7,48,61,14
2,8,18,179,11
2,10,6,68,9
3,5,72,38,17
2,6,72,84,15
3,8,6,144,11
1,10,2,31,10
3,5,24,104,13
2,8,30,93,14
1,10,96,160,13
1,8,96,30,17
3,6,4,32,10
2,5,5,115,13
3,6,120,57,16
1,4,6,136,18
1,5,12,71,14
3,7,5,114,12
2,4,8,35,17
3,4,24,134,13
3,8,5,108,10
2,4,8,30,16
3,4,6,70,12
3,8,2,38,11
1,10,48,36,15
1,9,96,135,15
1,4,12,94,16
3,5,4,151,13
1,9,30,68,14
1,9,18,138,13
2,6,18,122,13
1,10,24,130,13
1,10,36,155,13
3,9,1,136,10
3,9,2,142,9
2,9,2,141,9
3,5,3,97,13
2,8,120,139,15
2,10,36,157,9
2,5,30,141,15
3,4,36,121,16
1,6,1,41,15
